doc_id,text
585,"Due to COVID-19, companies have had to make significant shifts in a short time to accommodate a #WFH reality, especially when it comes to #IT. Register for Splunk's upcoming webinar with our CIO Ian Pitt on June 25  "
586,"When the COVID-19 pandemic hit, it impacted millions of jobs. What was unique about this recession is that its impact was not evenly spread out. See how women took a much bigger hit than others: "
587,Check out our latest blog discussing the 5 signs that COVID-19 is pushing the U.S. toward a mental health crisis. Learn more: 
588,"In these unusual times, food safety and health precautions must be taken to higher levels of attentiveness. Learn how F&B operators can leverage technology to ensure compliance with public health rules and government safety regulations - while enhancing customer experience.    These tips and technology solutions will help the food and drink outlets address the challenges of COVID-19."
589,Why has the solar industry continued steady growth during a time when other businesses are struggling? SunPower CEO Tom Werner shares how SunPower is finding success during a global pandemic. #DemandBetterSolar #Solar #RenewableEnergy #SustainableFuture
590,"Today we welcomed The Boeing Company and Atlas Air Worldwide Holdings to Greenville-Spartanburg International Airport with a shipment of 1.5 million face masks for our health care workers at Prisma Health-Upstate. This would not have been possible without Neil Ferrier of Discommon in Greenville. Boeing also generously donated a Dreamlifter aircraft to make the delivery this morning. These masks will go to the courageous doctors, nurses, and medical staff at Prisma Health who are on the frontlines fighting COVID-19."
591,"Does #COVID19 have you doing the quarantine juggle? Here are some ways to organize your life, stay sane and keep your family entertained while using paper: "
592,"Join Conduent experts as they reveal the key ingredients of workplace wellness designed to drive employee engagement and measurable results during these uncertain times.   As we look ahead to the coming year, many organizations are eager to return to some form of normalcy after a year filled with disruption due to the COVID-19 pandemic. Amid shifts in work environments and workloads, it's more important than ever to prioritize employee well-being, encouraging an app..."
593,City officials remind Southie restaurants and bars to follow COVID-19 safety measures for St. Patrick's Day.
594,"Pedro Sanchez, Prime Minister of Spain, Pedro Dunque, Minister of Science, and Rosa Menendez, President of CSIC, visited the ""Manuel Rico"" Laboratory of #NMR of the Spanish National Research Council (#CSIC), part of the Spanish Map of Unique Scientific and Technical Infrastructures (#ICTS). Thanks to Carlos Gonzalez, Director of the Rocasolano Institute of Physical Chemistry and CSIC Research Professor:  IQFR-Instituto de Quimica Fisica Rocasolano Ministerio de Ciencia e Innovacion Pedro Sanchez Perez-Castejon #resonanciamagneticanuclear #RMN #NMRresearch #COVID19research   The Prime Minister of Spain, Pedro Sanchez, the Minister of Science, Pedro Duque, and the President of CSIC, Rosa Menendez, visited the ""Manuel Rico"" Laboratory..."
595,"Congratulations to UniFirst--Baltimore, MD Team Partner Vanessa Fowlkes who is celebrating a milestone anniversary--15 years with the company. According to Baltimore Office Administrator La'Tonya Diggs, Vanessa has been one of the location's top producers throughout her 15-year career as a production worker at UniFirst. Most recently, Vanessa has been invaluable in her efforts to help process hygienically clean uniforms for local business customers throughout the COVID-19 pandemic. As a result of her 15 years of success, she earned a special jersey to be added to the ""Baltimore Wall of Fame!"" Vanessa likes to live by one of her favorite quotes, ""Strive not to be a success, but rather to be of value."" Thank you, Vanessa, for your years of dedication and service. You are a valued member of the UniFirst team. #EverydayHeroes"
596,"With a long-standing interest in studying the interactions between immune cells and microbial pathogens, Nadia Roan, PhD, is working to better understand how HIV establishes initial infection and how it can persist in the face of antiretroviral therapy. Her team now has two new papers recently published in eLife Sciences Publications. Roan and her lab have also published in Cell Reports Medicine, where they used CyTOF technology and developed a tailored T cell panel to characterize SARS-CoV-2 specific CD4+ and CD8+ T cells and measure their longevity. With even more to come! Using mass cytometry to learn how to fight pathogens from HIV to SARS-CoV-2: Read the new CyTOF(r) Spotlight on Nadia Roan:  #CyTOF #masscytometry #HIV #infection #sarscov2 #virology #immunology #pathogens #tcells #COVID19 Gladstone Institutes UCSF"
597,Does the unpredictability of COVID make you uncomfortable? See how Stride K12 is continuing to keep students safe and on track: 
598,"This year, CEOs have had to make some difficult decisions given the impact of #COVID19. From the beginning of the pandemic, Mercury's CEO, Mark Aslett, led with empathy while being mindful of business objectives, earning him high praise from our employees and the #1 CEO rating by Glassdoor Discover more about how great leadership can propel a company to fulfill its purpose:  #WeAreMercury | #InnovationThatMatters   The recent Glassdoor announcement honoring Mercury CEO Mark Aslett as the nation's ""#1 Rated CEO During COVID-19"" shines a spotlight on what constitutes a great business leader. Aside from business competency and technical skill, Mark showed something more--emotional intelligence, which exper..."
599,"For #InternationalPodcastDay, Nasdaq is looking back at episodes from the latest season of #TomorrowsCapital. What does America 2.0 in a post-pandemic world look like? #COVID19 has called for urgent changes in security, education and the dynamic between employers and essential workers. Listen to technology journalist Kara Swisher discuss with CNBC Fast Money's Guy Adami and Dan Nathan: "
600,"!Vamos todos a vacunarnos! Este viernes 06 y sabado 07 de agosto continuan las jornadas de vacunacion contra el COVID 19 (PRIMERA DOSIS), en las Instituciones ""Americo Garibaldi Gershi"", ""Mercedes Cabello de Carboneras"", ""Mariscal Domingo Nieto"", ""Jose Olaya Balandra"" y ""Miguel Grau Seminario"", a cargo de la Red de Salud Ilo y con el apoyo logistico de Southern Peru. Si tienes mas de 40 anos solo debes fijarte en la letra con la que empiece tu apellido y acudir a alguno de los locales dentro del horario especificado. #JuntosSiPodemos #SouthernPeru #Covid19 #PongoElHombro MOQUEGUA PERU Ministerio de Salud Red Salud Ilo SouthernPer GrupoMexico La vacuna es Vida VIERNES 06 AGOSTO SABADO 07 AGOSTO 8:00 A.M. A 2:00 P.M ""AMERICO GARIBALDI GHERSI"" ""MERCEDES CABELLO DE CARBONERA"" ""MARISCAL DOMINGO NIETO"" ""JOSE OLAYA BALANDRA"" VACUNA COVID-19 ADULTOS DE 40 ANOS 0 MAS (1a DOSIS) 8:00 A.M. A 8:00 P.M I.E. ""MIGUEL GRAU SEMINARIO"""
601,"Since working from home, we have found new ways to stay connected. Our Applications, Development and Support Team held virtual training sessions using Microsoft Teams to help educate and engage with their colleagues around the world. How have you been connecting virtually? #COVID19 #SealedAirProud"
602,"The number of CFOs who are leaving their current job or looking for something new has surged over the summer -- and it's a trend likely to continue throughout the pandemic.  #KFCOVID19 #leadership #management #cfo #csuite #cxo #finance #turnover #humanresources   Though critical to operations, chief financial officers are finding new roles or retiring at a blistering pace. What that means to firms."
603,"The COVID-19 pandemic may increase mental health symptoms, but learning how to cope with uncertainties is one way to form resilience. Great article by NAMI #MentalHealthMonth #BreakTheStigma   Resilience is the process of finding healthy ways to adapt and cope with adversity and distress. Building resilience can be key to helping us get through the Coronavirus crisis and its aftermath. It can help protect us from various mental health symptoms and conditions."
604,"Has your workload increased since the beginning of the pandemic? If so, you're not alone. #careers #worklife #productivity"
605,"David Cordani, Cigna CEO, and Ted Mathas, New York Life Insurance Company CEO, thank healthcare heroes in an open letter. They share why our companies came together to create the #BraveofHeartFund, through their foundations, at E4E Relief to assist families of frontline healthcare workers who lose their lives in the fight against #COVID19. "
606,"To prevent the risk of #COVID19 exposure, many hospitals are following in the footsteps of global employers and moving toward telework and more remote options for their patient access and revenue cycle staff. Check out this blog post to learn how R1 created an innovative solution that allowed onsite outpatient/walk-in and emergency department (ED) registration staff to safely perform their jobs from a remote location without physical contact. Over the course of just a few weeks, R1 deployed this remote registration solution to a majority of Ascension's high-volume hospitals and transitioned 25% of its active patient registrars to a #workfromhome or protected on-site location:    As COVID-19 safety concerns continued to escalate, R1 created its own innovative solution that would allow onsite outpatient/walk-in and emergency department (ED) registration staff to safely perform their jobs from a remote location without physical contact."
607,Small business expert Gene Marks shares his predictions on what workplace changes will come once the pandemic ends.    After the coronavirus pandemic your company will begin to get back to business and slowly work its way back to normal. But what is normal?
608,Want to know the latest information related to H1N1 and the Flu? Visit  for informational resources as well as real-time Twitter updates from the CDC on the latest flu-related information.   Information Resources for the H1N1 Flu from Cintas
609,"Read our 2020 Annual Review to see how we pivoted and adapted to the many challenges of the pandemic and successfully navigated an unprecedented 2020, emerging as an even stronger organization. "
610,"Is the pandemic helping to combat racism? Five ways to make the most of a ""lesser"" job. Plus, why so many people don't want to go back to the office...ever in This Week in Leadership.  #leadership #management #diversity #inclusion #careers #remotework   How COVID-19 may be helping fight racism. Plus, do you really have to go back to the office?"
611,TravelSky expands processing capacity with Unisys ClearPath Forward(r) to support China's aviation industry as it rapidly recovers from the impact of COVID-19. Media Release:  #ClearPathForward #AviationTechnology
612,"Is the cavalry on the way? This morning, G7 Finance Ministers issued a statement pledging to ""use all appropriate policy tools"" to counter the economic effects of the coronavirus.    After yesterday's massive rally for the record books, this morning markets were looking for a coordinated central bank stimulus program to counteract the economic impact of the coronavirus."
613,"About 52% of Americans still say that they're being financially impacted by the coronavirus pandemic. Here is a guide to resources that can help pay bills now, from rent to health care.    To help you stretch your budget as much as possible, CNBC Make It rounded up a list of resources that may be worth checking out if you're struggling financially right now."
614,"In 2020, the focus was on business continuity -- in 2021, that won't be enough.   There have been many thought pieces this year discussing the transformative impact COVID-19 has had on virtually every pillar of..."
615,"Our Chief Strategy Officer, John Mellor, discusses #Domopalooza, the pandemic's effect on digital transformation and improving innovation velocity. Check out this episode of DisruptTV here. #DP21    DisrupTV Episode 226, Mavi Zingoni, John Mellor, Bill Carr and Colin Bryar"
616,Fantastic visualization of #COVID19 spread in South Korea points out the importance of following quarantine protocol.   How coronavirus cases exploded in South Korean churches and hospitals
617,"BIG TIP FROM A SMALL BUSINESS: ""I definitely leaned on my network of business relationships I've had in the past and they turned into clients and advocates for me."" Entrepreneur Dan Ray shares how he successfully pivoted to start a new business when the pandemic shuttered his Rocky Mountain Chocolate Factory, Inc. shops.   Responding to a pandemic, a Salt Lake City entrepreneur pivots from chocolate to hypochlorous acid."
618,"It's always a good idea to support your employees' well-being! International Stress Awareness Week is a great opportunity to brush up on how to do this in the modern workforce. These tips from the TriNet blog can help. #TriNetblog #InternationalStressAwarenessWeek #StressAwarenessWeek #IncredibleHR #IncredibleStartsHere #YourPeopleMatter   The start of the COVID-19 pandemic prompted many small and medium-size businesses to rapidly pivot how they do business. For most companies, this meant the move to a remote workforce during much of 2020 and even well into 2021. Now many small and medium-size businesses (SMBs) are tackling the new ch..."
619,"We want to remind our customers that COVID-19 Payment Plans, which do not require a down payment, are interest-free and can be extended over 24 months, are still available for any customer who anticipates having difficulty paying their water bill - regardless of income. These plans, in accordance with the Public Utilities Regulatory Authority, were set to expire today but have been extended until April 20, 2021 or the expiration of Governor Lamont's declaration of Public Health and Civil Preparedness Emergencies due to the COVID-19 Pandemic - whichever comes last. Please call us at 1-800-286-5700 or visit ctwater.com/H2O:=: for more information.   Our H2O, Help 2 Our Customers program can help those needing financial assistance with their water bills in order to maintain uninterrupted water service."
620,The FTC has provided three ways to avoid COVID-19 vaccine scams. Here's what you can be sure of: www.horizonbank.com/protect-yourself-from-covid-19-vaccine-related-cyberattacks--scams/:=:
621,"McCormick Pl. is one of many sites Atkore products and people are supporting our heroes on the front lines. #BuildingBetterTogether #Coronavirus   Atkore International delivers a unique portfolio of integrated electrical raceway solutions that deploy, isolate and protect a structure's electrical circuitry from curb to outlet. Atkore's mission is to be the customer's first choice for electrical raceway and complementary high value product..."
622,"?Tu tambien te preguntas como van a cambiar los #RRHH despues de la crisis del #COVID19? Nuestro Regional Director South Europe, Guillermo San Roman , nos da su opinion en este articulo de Equipos y Talento. ?Tu que opinas? "
623,"Marketers, agency execs, consultants and vendors have had to find new ways to connect as the in-person events they'd usually fall back on were made impossible by COVID-19. So, what's the future hold for networking?    The future of networking may be omnichannel rather than primarily in-person as people have realized they can make new connections at home."
624,"Quest Diagnostics has performed and reported results of approximately 800,000 COVID-19 tests to providers and patients across the United States. We now have capacity to perform approximately 45,000 COVID-19 tests per day. The expanded capacity is due in part to the addition of testing based on a molecular test from Hologic in two of our COVID-19 testing laboratories, beginning today. Read more:    Quest Diagnostics has performed and reported results of approximately 800,000 COVID-19 tests to providers and patients across the United States. We now have capacity to perform approximately 45,000 COVID-19 tests per day. The expanded capacity is due in part to the addition of testing based on a mol..."
625,"""If you want to be in the business of nicotinamide riboside, there is only one provider of patented, consistently safe and regulatory approved product--and that is ChromaDex,"" says ChromaDex CEO Rob Fried regarding the update on prosecutions against Elysium Health.   ChromaDex Issues Update on Prosecutions Against Elysium Health LOS ANGELES -(BUSINESS WIRE)- ChromaDex Corp. (NASDAQ:CDXC) issued the following statement: Given recently announced court closures and other restrictions due to the COVID-19 pandemic, the company would like to take this opportunity to p..."
626,"During the pandemic, people put off the routine care that keeps us feeling good. But now it's time to make things like routine seuxally transmitted infection (STI) tests and our broader health a priority again. We're here to help you make way for better health. Talk to your doctor or visit Labcorp OnDemand for testing options:  #STIAwarenessMonth"
627,"Your website is your best friend during COVID-19. Make sure you're using it to update customers on new offerings, services, and best ways to contact you. "
628,"How are people with serious medical conditions thinking about the COVID-19 vaccine? Read our Q&A with Inspire on a survey of their online community representing 3,300 health conditions, and how they're using the survey to humanize data points. Read more:    Hear how Inspire transformed crowdsourced data from their online community into publicly available data tools that help patients with serious medical conditions find relevant information about the COVID-19 vaccine."
629,"""I cannot describe the disheartening effect of losing young, healthy women with no previous health issues to such a devastating disease. The loss is made even more tragic by the preventable nature of what we are seeing."" - Charrell Thomas, M.D., OB/GYN Hospitalist and medical director in Jacksonville, FL Our clinicians agree: acute COVID-19 infection during pregnancy is preventable. Read more from experts in our national medical group, as they advocate for pregnant women to consider vaccination:  Charrell Thomas, M.D. OB/GYN Hospitalist Jacksonville, FL ""Ihave experienced quadruple the maternal mortality rate in the past few months than what have seen my entire career, all due to COVID-19. The loss is made even more tragic by the preventable nature of what we are seeing."" MEDNAX(r) National Medical Group PEDIATRIX OBSTETRIX"
630,"""I'm very proud of our Total Customer Care Team, we have a great working relationship and share a strong work ethic, always putting our customers first. It's been a true team effort during this pandemic responding to all of the urgent needs of our customers."" ~Gayle Cardarelli, Customer Service Lead who has worked for Vapotherm for 5 years."
631,"In an era of TED Talks and rapid social sharing of ideas, leaders are expected to be strong communicators, yet few are trained for it. And COVID-19 restrictions have taken us from in-person interactions to virtual ones, offering new challenges. In this course, you'll learn the science behind what motivates, educates and inspires audiences to take action. Our training will help you understand how to guide your audience through a stream of complicated, and often sensitive, information. Soon they will be hooked and sharing the very ideas you wanted them to take away.  * Learn how to start your presentations effectively * Uncover the secrets behind great video conferences in the age of virtual meetings * Master the art (and science) of clear, concise and convincing communication  Instructed By: Denise Bentele, CEO & Founder, Common Ground Public Relations Kathryn Jamboretz, Media Specialist, Common Ground Public Relations"
632,"""Because of immunosuppression, many kidney patients may not develop full protection after vaccination compared to a healthy person. This is most profound in transplant patients, but also found in dialysis patients,"" Dr. Ken Sutha, a kidney patient and physician, offers a firsthand account of the challenges dialysis patients face when dealing with #COVID19 bit.ly/3F72Aw:=:"
633,"This year's World Mental Health Day comes at a time when our daily lives have changed considerably as a result of the COVID-19 pandemic, so we would like to take the opportunity to say this loud and clear: MENTAL HEALTH MATTERS! We'd also like to challenge you to do something that makes you HAPPY today. Read a book, go for a bike ride, listen to your favorite song, pray, call someone that makes you smile-- whatever fills your cup! Bonus points if you share a photo of yourself tackling this challenge in the comment section down below. #WorldMentalHealthDay k WORLD MENTAL HEALTH DAY"
634,"As people across the country adapt to a new normal, we're incredibly proud to see our associates stepping up to help their local communities and those in need. To all of our Red Vest teammates working around the clock and lending a hand to your neighbors, we thank you.   As schools and businesses close, Lowe's associates are finding way to help those in their community who are in need due to the coronavirus."
635,"US Oil Pipeline Operators Gear Up for Higher Shale Output   Analysts predict that operators could reach pre-pandemic crude oil production outputs by October 2022, with Permian Basin production expected to rise 5.7 MMbbl/d next year."
636,"""We believe no student should go hungry or fall behind because of COVID-19 school closures."" For many families with children that rely on school lunch programs, the COVID-19 pandemic is presenting growing food insecurity issues. It's a problem that organizations like Bull City Schools are working hard to overcome, helping families in North Carolina keep food on the table during this unprecedented crisis.   ""School closures during this crisis have brought to the forefront the many essential ways our public schools support students. Particularly in North Carolina, where 57 percent of students statewide are eligible for free or reduced lunch programs, ensuring these children are fed is a fundamental chal..."
637,"Ben Vereen: Virtual Vereen and Friends 6pm EDT / 3pm PST (live only) 5:50pm EST Enjoy the sounds of the NYPD Jazz Band. Fosse muse, jazz cat and showbiz triple-threat entertainer Ben Vereen--of Pippin, Jesus Christ Superstar and All That Jazz fame--struts his still-slick stuff in an hour-long online benefit for homeless New Yorkers affected by the COVID-19 crisis. NY1 anchor Cheryl Wills hosts the event, which includes performances and appearances by Chita Rivera, Glenn Close, Bryan Cranston, Brian Stokes Mitchell, Wayne Brady, Michael Feinstein, Jeff Goldblum, Nita Whitaker, Skye and Liisi LaFontaine, David Copperfield and Al Roker. The stream must be watched live; any donation will get you a ticket link. www.careforthehomeless.org/news/virtual:=: vereen/ Care For the Homeless"
638,"For start-ups, adapting for the ""next normal"" presents huge challenges. These nine tips address product development, fundraising, and the future:   As COVID-19 chaos settles down, hardware start-up business models need to modify, adapt, and strengthen. These 9 tips provide guidance on product development, fundraising, and more."
639,"The Griswold Inn, a beloved landmark in Essex, Connecticut, has celebrated life's passages for 244 years. Learn how it was able to keep its doors open during the COVID-19 pandemic, provide food and service to its community, and re-emerge stronger than ever. "
640,"As of today, every state in the U.S. is partially reopened and firms are exploring bringing workers back to the office. Are you ready to go back to work... or not? Take our quick survey.  #KFCOVID19 #survey #socialdistancing #publichealth #publicsafety #recovery #humanresources"
641,"A look at the industry 4.0 changes that have been fueled by the pandemic, including related initiatives that have come from the Global Lighthouse Network.    Industry 4.0 used to be mostly hype. Now it's truly happening"
642,"At Coherent, we care about your health and are actively taking measures to assess and address the impact #COVID19 is having on our customers, our employees, and our operations, while remaining open for business to support your needs. For more information, visit our website  #StaySafe #CoherentInc"
643,"Fun fact: Nearly $1 out of every $5 spent between July 1 and September 30 was spent online. As online sales increase, so can sales tax obligations.    More holiday shopping than usual will occur online this year because of COVID-19. For some online sellers, that could create new sales tax..."
644,"Nurses increasingly struggle with the effects of burnout, and many are leaving their jobs to cope. Learn about the epidemic within the pandemic and how lessening the information overload on these essential clinicians should be front and center for healthcare administrators in our most recent blog post:  BLOG Nursing perspective: Cognitive overload and burnout in healthcare spok"
645,"The National Association of Home Builders provided an updated version of the ""Coronavirus Preparedness and Response Plan for Construction"". Some changes including new guidance on the use of face coverings, guidance on ride-sharing, specific procedures for screening and allowing visitors on job sites, and more. Read more here.   CISC plan describes how to prevent exposure to coronavirus, protective measures and response procedures."
646,"CytoSorbents invites clinicians to join a webinar: Cytokine adsorption in severely ill COVID-19 patients. Experts from the #COVID-19 epicenters share their experience: Prof. Zhiyong Peng, Wuhan, China; Dr. Ivano Riva, Bergamo, and Prof. Giorgio Berlot, Triest, Italy.   CytoSorbents invites clinicians to join a webinar: Cytokine adsorption in severely ill COVID-19 patients.  Experts from the #COVID-19 epicenters share their experience: Prof. Zhiyong Peng, Wuhan, China; Dr. Ivano Riva, Bergamo, and Prof. Giorgio Berlot, Triest, Italy.   On Thursday, 16 April 2020, 1:00pm - 2:30pm CEST. Please register in advance.  Full Programme here: "
647,"Are you concerned that job loss could affect your credit? Get insight from Beverly Anderson, President of Global Consumer Solutions at Equifax now:    If you've become unemployed due to the COVID-19 pandemic, learn more about your job history and its potential effects on your credit history. Read more about your job and credit score here."
648,Hindsight is 20/20. Read more on how middle market business leaders think tech investments could have better prepared them for the pandemic in our 2020 #TechandTalent survey. 
649,"Want to help local business operators? Consider buying a gift card from your favorite #restaurant and other hot spots. #helpsmallbusinesses #buygiftcards #socialdistancing #agilysys   To help small businesses survive the coronavirus economic shock, online lender Kabbage created a platform where shoppers can buy a gift certificate now to be redeemed in-store later."
650,"At our core, HCA Healthcare's greatest strength is our people. And, in these unprecedented times, the heart of each team member is shining through. Dietary services supervisor Aleshia Cooper - who recently celebrated her 20-year anniversary with affiliate The Woman's Hospital of Texas - is taking caring like family to a whole new level. On top of the nutritious meals that Aleshia's food and nutrition team serves daily to colleagues, patients and visitors, her team is also preparing 500 sack lunches every day for our colleagues to take home to their children. ""Giving our colleagues one less thing to worry about when they get home after a 12-hour shift is a wonderful feeling. Being able to help them makes me happy and I know they are appreciative,"" says Aleshia. ""This hospital team is my family, and we all care for each other like family. The Woman's Hospital of Texas, in particular, is a very happy place and I love it here. It's not a job to me."" #CaringDuringCOVID19 #COVID19"
651,"We're so inspired by Toshua Parker's dedication to his community. Thanks for sharing, CNN.   A grocer in a remote Alaskan region that's only accessible by boat or plane is going above and beyond to keep his small city fed during the coronavirus pandemic."
652,Beware COVID-19 SMS scam. Don't click on any links.  via Information Age Australia   Don't click on any links.
653,"This pandemic is a serious and rapidly evolving situation playing out globally, and nursing homes across the country are doing everything possible to contain it. Our CEO, George Hager, told CNN that in order to protect our residents and employees, nursing homes need continued access to personal protective equipment, and prioritized COVID-19 testing. Read the full story:    Even inside nursing homes -- deemed a ground zero for the spread of coronavirus -- health care workers still don't have enough personal protective gear and the facilities can't get testing done quickly enough to effectively fight the virus."
654,"This #DayOfTheGirl, listen to Black Girls CODE Founder and CEO Kimberly Bryant recall how girls from all over the world participated in the organization's first virtual workshop during the pandemic: "
655,"Check out what CEO Brad Jacobs had to say about XPO's #Q2. Bloomberg LP    XPO Logistics Inc. is seeing a rebound in demand for its trucking services, but it's still not back to pre-Covid levels. Chief Executive Officer Bradley Jacobs spoke on ""Bloomberg Markets."" (Source: Bloomberg)"
656,Bill Gates speaks to Massachusetts Medical Societyabou how the U.S must take a leadership role in creating worldwide pandemic preparedness and response systems. 
657,"We will get through this together. Thank you for staying home to protect all the heroic health care professionals, public health workers and our clinicians working to help those who need it most. #COVID19 #CignaTogether "
658,Encompass Health Ocala celebrated the discharge of their first patient who came to regain their independence after beating COVID-19. We are happy to see her return home to her husband and wish her luck on her continued recovery. Thank you to all the healthcare heroes who helped make this moment possible. #EncompassHealthHeroes
659,"Due to COVID-19, there has been a rapid shift to #virtualevents. Learn how to build a long-term technology foundation as you adjust to these changes.    Technology is your key enabler to helping you achieve your shift to virtual events. There are five important considerations as you develop your strategy."
660,"Here's some great #MondayMotivation news from us: vaccinations against #COVID19 have been made available for all 2,437 full-time Amgen staff members working at our largest manufacturing facility - Amgen Manufacturing Limited (AML) - in Juncos, Puerto Rico. The on-site vaccination program kicked off on Thursday, March 25, and by noon on Friday, more than 1,000 staff members had received their first dose of the Pfizer injection.  The island of Puerto Rico is a vital manufacturing hub for the supply of biopharmaceutical medicines around the world, which is likely why Puerto Rico's governor, Pedro Pierluisi, established vaccination priority status for residents working in the biopharmaceutical industry. Amgen staff were among those who received priority status from the Puerto Rican government because Amgen makes critical medicines for seriously ill patients around the world. As Amgen's largest manufacturing facility, AML produces a majority of the company's product output, and the site has followed through on its commitment to serve every patient every time, maintaining its production capacity despite the challenges of working during the pandemic. In addition to manufacturing Amgen medicines for critically ill patients, the AML site is also contributing to the pandemic response as a manufacturing partner for Lilly's COVID-19 antibody therapy. Jesus Soto, an associate in Cell Culture Harvest operation at AML 6, (pictured in slide 2 holding his vaccination card) was the first to get vaccinated, and he could hardly contain his happiness when the time came. ""I am super excited,"" he said after getting his shot, ""and I want to be part of a campaign, if Amgen does one, to motivate everyone to get the vaccine and help stop this horrible virus."""
661,"The United Nations Development Programme - UNDP and Hackster.io #COVID19DetectProtect Challenge was a tremendous display of the impact technology and altruism can have, especially in dire times like these presented by the pandemic. Of the 400 submissions from over 50 countries, 10 grand prize winners have been announced. Congratulations to these amazing innovators, and to everyone involved in this inspiring event. "
662,"Over the last year, we've all had to adapt to a new way of life due to COVID-19.  At Coty, as we slowly prepare to return to our offices, we believe that a more flexible philosophy of remote working gives our associates the freedom to choose what works for their individual circumstances and empowers them to always perform at their best.  That's why we're happy to share that going forward, everyone at Coty will be able to participate in our new omni-working program!  Omni-working is a hybrid workplace flexibility model that provides the option to work up to 50% of the week remotely. We talked with our associates, gathered feedback, and know that being flexible will reduce stress for everyone. After all, we believe in fearlessly kind beauty - and that means being kind to ourselves. #coty #cotylife #omniworking #flexibleworking #BeautyThatLasts OMNI OMNI-WORKING Flexible work at Coty CAAEE COTY 1904 kn"
663,"Don't go back to work without first watching our free, on-demand webinar on employee health and safety during COVID-19. #IncredibleHR #IncredibleStartsHere   Finding a safe time and way to bring employees back to the workplace is complex and critical. Watch our webcast with One Medical where they discuss their clinical philosophy on bringing your employees back to the workplace and how employers can support the health and well-being of their employees du..."
664,New study of >3MM patients: SARS-CoV-2 antibodies associated with protection against reinfection:  #Covid19 #SARSCoV2   This cohort study evaluates evidence of SARS-CoV-2 infection based on diagnostic nucleic acid amplification test among patients who tested positive versus negative for antibodies.
665,"With rising health concerns, many schools are moving to online learning. We're giving our global K-12 and higher ed institutional customers the ability to request ""at-home"" access for students and faculty. Learn more: "
666,First look: Fenway Park is ready to become a COVID-19 vaccination site.   Fenway Park is ready to become a COVID-19 vaccination site.
667," SAVE THE DATE  Food Fanatics Live(tm) Virtual Access - The Industry's Premier Virtual Food Event - is coming to your screen on Wednesday, April 7, 2021 at 1 PM CDT! Connect with fellow foodservice operators across the country, see Food Fanatics(r) Chef-led cooking demos using innovative Spring Scoop(tm) products, get insights on staffing and labor, tips to update your post-pandemic menu, and learn the latest in food trends. Click here for more information and to find out how you can register: "
668,"Our emerging markets equity team emphasizes how emerging markets have evolved in ways many investors may not realize. Read more:    Many countries have learned valuable lessons from prior crisis periods that have helped them navigate the current coronavirus pandemic, and South Korea is one such example."
669,"Want to help those in need but not sure where to start? These ideas can help.    Before the pandemic, it was easier to help. You could physically show up to assist those in need. Dish out meals at a soup kitchen, volunteer at your child's school, visit someone in a nursing home or organize a bake sale at a sports event to raise money. Today, many people are wary of face-to-fac..."
670,"As we continue to safely return to more normal operating procedures, it's important that people do the same for their health. Regular cancer screenings saw a huge decline due to the pandemic and this can result in life-altering consequences. That's why we're continuing our support of the American Cancer Society and American Cancer Society Oregon SW Washington American Cancer Society Washington State American Cancer Society ID through Relay for Life. Until June 4th, we're accepting donations of any amount in person at your local branch or online to support the fight against cancer and encourage the safe return to regular cancer screening. Thank you for your support in the fight against cancer!    Relay For Life events are life-changing cancer fundraising events that help communities across the globe fight back against cancer."
671,"Our New York team supported In My Father's Kitchen and their partner. Dr. Lehmann who started the ""House Calls for the Homeless"" program. This program sends doctors in the community to conduct health screenings and provide medical care to people experiencing homelessness. Thank you for being #healthcareheroes during the #coronavirus crisis."
672,"Join us for a live webinar with Kirk Hinkley, MD FACEP to discuss COVID-19 transmission risks and HVNI in the context of COVID-19 management. Attendance is limited to the first 3,000 that join. No CE or CEU credit.    With the COVID-19 pandemic developing rapidly, there can be some confusion on the do's and don't's when it comes to treating your patients and keeping yourself safe. To help, Vapotherm will be hosting a live webinar where clinical expert Kirk Hinkley, MD FACEP will:"
673,"From the archives: Single Male Seeks 'Fertile' Apocalypse Companion   If you're a fertile, single woman who fears Ebola, knows your way around a gun, and you aren't turned off by an ""average"" body, today is your lucky day."
674,"2022 just got a whole lot happier for this mother and her son. She received a heart transplant months ago but due to COVID concerns, wasn't able to see her son, until recently. #feelgoodfriday   A heart attack was the last thing on Victoria Guajardo's mind when she started..."
675,"When COVID-19 upended the world, Tesco -- the UK's largest grocer -- was thrust into a new reality where citizens' demands for essentials soared. That's why they turned to data to handle a surge in deliveries and scale their business. Get the scoop on how they achieved this (and more) right here. #TurnDataIntoDoing   The UK's largest grocer had to adapt to COVID virtually overnight. Supply chains were disrupted. Grocery aisles were stripped bare. Consumer behavior was affected by lockdowns and concern about public safety. Demand for home delivery soared. And Tesco had to manage it all across more than 7,000 stor..."
676,"PSE&G is honored to be named by PA Consulting as the recipient of the 2020 ReliabilityOne(r) Outstanding Customer Engagement Award; and the Award for Outstanding Reliability Performance Mid-Atlantic Region -- for the 19th consecutive year. ""There are no words to express how grateful we are to our employees for all their efforts or to our customers for their patience, particularly in light of the pandemic."" - John A. Bridges, VP, Electric Operations - PSE&G #ReliabilityOne20   As we've all experienced, 2020 has been a year like no other. Our customers are dealing with so much stress and loss in their lives right now that they have little patience for losing power. Fortun..."
